,custody_type,race,death_type,age
569,2,3,5,65.0
570,0,1,7,40.0
571,2,3,5,66.0
572,2,1,5,74.0
573,2,1,5,57.0
574,2,1,5,43.0
575,2,1,7,21.0
576,3,3,3,59.0
577,2,4,4,42.0
578,2,3,4,46.0
579,2,1,5,82.0
580,2,1,1,54.0
581,2,1,5,47.0
582,2,1,5,53.0
583,2,3,5,49.0
584,2,3,5,68.0
585,2,3,5,66.0
586,2,1,5,60.0
587,0,1,5,52.0
588,2,3,5,53.0
589,2,1,5,70.0
590,0,0,7,57.0
591,2,1,5,51.0
592,2,3,5,52.0
593,2,1,5,54.0
594,2,3,5,49.0
595,2,1,5,48.0
596,2,3,5,49.0
597,2,1,5,56.0
598,2,1,5,81.0
599,2,1,5,58.0
600,2,1,5,71.0
601,0,1,7,38.0
602,2,1,5,56.0
603,2,1,5,61.0
604,2,3,5,55.0
605,2,1,5,66.0
606,2,3,5,48.0
607,2,1,5,72.0
608,2,3,5,55.0
609,2,3,5,57.0
610,2,1,5,50.0
611,2,1,5,55.0
612,2,1,5,50.0
613,2,1,5,59.0
614,2,1,5,55.0
615,2,1,5,72.0
616,2,1,5,26.0
617,2,1,5,48.0
618,2,1,5,20.0
619,0,3,5,61.0
620,2,1,5,60.0
621,2,4,5,43.0
622,2,3,5,54.0
623,2,1,5,56.0
624,2,3,5,55.0
625,2,3,5,54.0
626,2,1,5,53.0
627,2,3,5,55.0
628,3,1,5,53.0
629,2,1,5,70.0
630,2,1,5,61.0
631,2,1,5,75.0
632,2,1,5,71.0
633,2,3,5,49.0
634,2,3,5,67.0
635,2,1,5,57.0
636,3,1,3,24.0
637,2,4,5,48.0
638,0,1,5,58.0
639,2,4,5,35.0
640,2,3,5,59.0
641,2,1,5,54.0
642,2,1,5,68.0
643,2,3,5,55.0
644,2,1,5,53.0
645,2,1,5,52.0
646,2,3,5,61.0
647,2,3,5,60.0
648,2,1,5,51.0
649,3,1,3,49.0
650,2,3,5,52.0
651,2,1,5,82.0
652,2,1,5,55.0
653,0,1,7,38.0
654,2,4,5,66.0
655,2,1,5,52.0
656,2,3,5,59.0
657,2,1,5,58.0
658,2,1,5,65.0
659,2,1,5,55.0
660,2,3,5,74.0
661,2,1,5,71.0
662,2,3,5,48.0
663,2,1,5,62.0
